
=== Spec A ===  one-layer a1=0.571533
  n=4 L=11 sigma=-1  infeasible  [11 start-types, 11 starts, 11.13s]
  n=4 L=12 sigma=+1  infeasible  [11 start-types, 11 starts, 13.53s]
  n=4 L=12 sigma=-1  infeasible  [11 start-types, 11 starts, 20.29s]
  checkpointed through n=4 -> ../data/e2_results.json
  n=5 L= 6 sigma=+1  infeasible  [12 start-types, 12 starts, 34.67s]
  n=5 L= 6 sigma=-1  delta=4.863964e-06  [12 start-types, 12 starts, 28.35s]
  n=5 L= 7 sigma=+1  infeasible  [12 start-types, 12 starts, 24.10s]
  n=5 L= 7 sigma=-1  infeasible  [12 start-types, 12 starts, 15.03s]
  n=5 L= 8 sigma=+1  delta=7.976665e-05  [12 start-types, 12 starts, 30.53s]
  n=5 L= 8 sigma=-1  infeasible  [12 start-types, 12 starts, 27.26s]
  n=5 L= 9 sigma=+1  infeasible  [12 start-types, 12 starts, 6.91s]
  n=5 L= 9 sigma=-1  infeasible  [12 start-types, 12 starts, 23.19s]
  n=5 L=10 sigma=+1  infeasible  [12 start-types, 12 starts, 33.21s]
  n=5 L=10 sigma=-1  delta=8.001570e-03  [12 start-types, 12 starts, 28.37s]
  n=5 L=11 sigma=+1  infeasible  [12 start-types, 12 starts, 20.51s]
  n=5 L=11 sigma=-1  infeasible  [12 start-types, 12 starts, 12.73s]
  n=5 L=12 sigma=+1  infeasible  [12 start-types, 12 starts, 25.04s]
  n=5 L=12 sigma=-1  infeasible  [12 start-types, 12 starts, 28.72s]
  checkpointed through n=5 -> ../data/e2_results.json
  n=6 L= 7 sigma=+1  infeasible  [11 start-types, 11 starts, 26.12s]
  n=6 L= 7 sigma=-1  infeasible  [11 start-types, 11 starts, 15.39s]
  n=6 L= 8 sigma=+1  delta=1.243104e-05  [11 start-types, 11 starts, 35.04s]
  n=6 L= 8 sigma=-1  infeasible  [11 start-types, 11 starts, 40.72s]
  n=6 L= 9 sigma=+1  infeasible  [11 start-types, 11 starts, 15.18s]
