n,status,underline_delta,dual_ray_found,dual_status,dual_blocks_all_feasible,delta_achieved,kappa_min,mu_min,max_kappa_B,s_0,Lambda,sigma_star,admissible,N_max,mu0,delta_target,N_required,start_origin,gamma,n_min_green,time_direct_s,time_sdp_s,alpha,rho,kappa_min_by_sigma,grid_vs_exact
2,optimal,4.308152421982417e-05,False,dual_certified,True,0.2338851953137917,1.0012467050504414,0.04992887122592293,0.9758764857722115,0.04766508451687823,0.2912079369310483,[-1],False,60,0.04992887122589985,2.8058361391694725e-06,60.0,random_2,3.382743495651781,2.0073434934142322,8.531119585037231,0.046244144439697266,"[-0.4437708922451377, -4.841702064424184e-13, 0.4437708922456219]","[1.0, 0.6416124023663696, 0.641612402366059, 0.9999999999999999]","{""(1,)"": -0.9999996205750877, ""(-1,)"": 1.0012467050504403}","{""delta_discrepancy"": 6.078471059822732e-15, ""kappa_min_discrepancy"": 1.1102230246251565e-15}"
3,optimal,4.3147485018048075e-07,False,dual_certified,True,0.0002859640486163606,1.0012467050504887,0.04992887122686979,0.9418155184919081,0.11298352912782028,0.0008311913657355063,[1],False,60,0.04992887122589985,2.8058361391694725e-06,60.0,random_2,3.382743495651781,2.0073434934142322,4.1097252368927,0.033763885498046875,"[-0.3038004782908329, 0.7743540200757206, -0.7743540170256182, 0.3038004752407305]","[1.0, 0.738008100399489, 1.6008801020300356, 0.7380081026504893, 0.9999999999999999]","{""(1,)"": 1.001246705150208, ""(-1,)"": 1.0012467050720844}","{""delta_discrepancy"": 6.8476780346309746e-09, ""kappa_min_discrepancy"": 9.971934389341186e-11}"
4,optimal,6.829912154238943e-09,False,dual_certified,True,0.00039377086179115395,1.0012467050505285,0.04992887122766552,0.8981027934546522,0.1934113723889368,0.002035838164715642,[-1],False,60,0.04992887122589985,2.8058361391694725e-06,60.0,zero_pad_from_n2,3.382743495651781,2.0073434934142322,8.937932968139648,0.04152679443359375,"[0.364761194458984, -1.0178005383097735, 1.306078687446836, -1.0178005370480072, 0.3647611934519608]","[1.0, 1.440170046493769, 0.5204615089265079, 1.921371672244955, 0.6943624493799314, 1.0]","{""(1,)"": 1.0012467050504228, ""(-1,)"": 1.0012467050508853}","{""delta_discrepancy"": 1.573743064613468e-08, ""kappa_min_discrepancy"": 3.568256801145253e-13}"
5,optimal,-1.4480289226662626e-10,False,dual_certified,True,4.534950223034073e-05,1.0012467050504925,0.049928871226945365,0.9193816210730228,0.15473743483314029,0.00029305863291639866,[-1],False,60,0.04992887122589985,2.8058361391694725e-06,60.0,zero_pad_from_n2,3.382743495651781,2.0073434934142322,22.084428071975708,0.10291862487792969,"[0.23172920268092465, -0.7000596343516796, 0.8311700640508651, -0.33319109368456934, -0.15380530715188467, 0.12415676845634382]","[1.0, 1.26077826722226, 0.6260466238444256, 1.4374053274856031, 1.0300924326948453, 0.8832413656432887, 1.0]","{""(1,)"": 1.001246705063591, ""(-1,)"": 1.0012467050637055}","{""delta_discrepancy"": 1.407843596523239e-09, ""kappa_min_discrepancy"": 1.3212986260668913e-11}"
6,optimal,7.574640694506141e-10,False,dual_certified,True,1.328961332092149e-06,1.001246705050436,0.04992887122581179,1.0000005777008727,-1.155402060248889e-06,,[1],False,60,0.04992887122589985,2.8058361391694725e-06,61.0,zero_pad_from_n5,3.382743495651781,2.0073434934142322,44.01603293418884,0.06125378608703613,"[0.1926898440635511, -0.6777502833941597, 1.0999283020389017, -1.1937205209699562, 0.96115186428314, -0.48877432526357434, 0.1064751192420974]","[1.0, 1.2125066690521262, 0.6156599855623766, 1.8494122070917087, 0.5605411299947337, 1.4656505510041162, 0.8989974156200241, 1.0000000000000004]","{""(1,)"": 1.0012467050599798, ""(-1,)"": 1.0012467050504394}","{""delta_discrepancy"": 8.428524979305105e-11, ""kappa_min_discrepancy"": 9.543921208887696e-12}"
7,optimal,3.5982900799699654e-10,False,dual_certified,True,1.7813683371059597e-05,1.0012467050504272,0.049928871225638424,1.0000068796778578,-1.3759402463620063e-05,,[-1],False,60,0.04992887122589985,2.8058361391694725e-06,61.0,zero_pad_from_n6,3.382743495651781,2.0073434934142322,35.086875200271606,0.06273698806762695,"[0.22609648137873717, -0.7083354441872087, 1.0426732656390505, -1.113205142650476, 1.1132051188843433, -1.0426732550774707, 0.7083355037130374, -0.22609652770001287]","[1.0, 1.2536966178214646, 0.617399508614997, 1.751432987447304, 0.5753533876090794, 1.751432945822515, 0.6173995004625124, 1.2536966758942922, 0.9999999999999998]","{""(1,)"": 1.0012467050504426, ""(-1,)"": 4798386162516.745}","{""delta_discrepancy"": 4.1276620643256544e-09, ""kappa_min_discrepancy"": 4798386162515.744}"
8,optimal,8.367350000346367e-11,False,dual_certified,True,6.465733940785867e-05,1.0012466286028214,0.04992734070786845,1.0000081183151515,-1.623669641048764e-05,,[-1],False,60,0.04992887122589985,2.8058361391694725e-06,61.0,random_1,3.382743495651781,2.0073434934142322,101.41951513290405,0.06591153144836426,"[-0.1402865573671661, 0.007748726112485432, 0.759479415961313, -1.3649219962443082, 0.8809770536660169, 0.5324268614568094, -1.358151339152783, 1.0320281558531592, -0.3493003202855264]","[1.0, 0.8691091500820665, 0.8758697982260174, 1.8718768389027411, 0.4780784629466163, 1.1537259275959115, 1.964864927131239, 0.5052369076924539, 1.4180750030885085, 1.0000000000000002]","{""(1,)"": 1.0012467050527225, ""(-1,)"": 1.001246705063505}","{""delta_discrepancy"": 4.091329578308233e-09, ""kappa_min_discrepancy"": 7.646068356237379e-08}"
9,optimal,1.50480178281912e-10,False,dual_certified,True,1.1368683772161603e-07,1.001246705303461,0.049928876291418935,1.000000000607092,-1.2150849215686321e-09,,[1],True,60,0.04992887122589985,2.8058361391694725e-06,60.0,zero_pad_from_n7,3.382743495651781,2.0073434934142322,118.76867508888245,0.07869672775268555,"[0.17646188801146345, -0.6718807176832367, 1.1791018874730683, -1.431400025048807, 1.4668484821537096, -1.082393157344463, -0.0022681895479528015, 0.8174433015935353, -0.6214200645308084, 0.16950659492349118]","[1.0, 1.1929889587116458, 0.6093156543707648, 1.9811610422036285, 0.4734462130330527, 2.0526497405949087, 0.6954044623753325, 0.693828940708525, 1.571315976106417, 0.8440811878111527, 1.0]","{""(1,)"": 1.0012467066042638, ""(-1,)"": 1.0012467050507434}","{""delta_discrepancy"": 2.6984402395904656e-11, ""kappa_min_discrepancy"": 1.3008027988092863e-09}"
