n,status,underline_delta,dual_ray_found,dual_status,dual_blocks_all_feasible,delta_achieved,kappa_min,mu_min,max_kappa_B,s_0,Lambda,sigma_star,admissible,N_max,mu0,delta_target,N_required,start_origin,gamma,n_min_green,time_direct_s,time_sdp_s,alpha,rho,kappa_min_by_sigma,grid_vs_exact
2,optimal,9.47281764625621e-06,False,dual_certified,True,0.000976246418886495,1.0012467050474312,0.04992887116565703,0.9794601746727811,0.04065776622996453,0.001351160155982356,[1],False,60,0.04992887122589985,2.8058361391694725e-06,61.0,random_0,4.173704968424227,1.6269305562461909,3.6170196533203125,0.03815293312072754,"[0.12263821206098406, -0.2452764243540365, 0.12263821229305243]","[1.0, 1.1304753546056658, 0.8845836361614033, 1.0]","{""(1,)"": 1.0012467050517446, ""(-1,)"": -1.0000000349033902}","{""delta_discrepancy"": 2.372301411302652e-11, ""kappa_min_discrepancy"": 4.313438495273658e-12}"
3,optimal,3.052273884263099e-08,False,dual_certified,True,1.0532084313341628e-05,1.0012467050504408,0.049928871225909596,0.9538235429361932,0.09022064894064696,3.8325592699450794e-05,[-1],False,60,0.04992887122589985,2.8058361391694725e-06,60.0,random_2,4.173704968424227,1.6269305562461909,5.803356409072876,0.033133745193481445,"[-0.09882349721453874, 0.2744500360973373, -0.27445003609950613, 0.09882349721670758]","[1.0, 0.9059025882436629, 1.1919928125473207, 0.905902588241698, 0.9999999999999999]","{""(1,)"": -1.0000011739809451, ""(-1,)"": 1.0012467050504408}","{""delta_discrepancy"": 1.953688775758379e-09, ""kappa_min_discrepancy"": 0.0}"
4,optimal,2.1599278528702887e-10,False,dual_certified,True,6.797324332286081e-07,1.0012467051502316,0.04992887322373948,0.9178942326804753,0.15747017761192117,8.541778395709798e-07,[1],True,60,0.04992887122589985,2.8058361391694725e-06,60.0,random_0,4.173704968424227,1.6269305562461909,8.939860343933105,0.03950905799865723,"[-0.06991083862241661, 0.2567727090586585, -0.37372238152166976, 0.2567695670701682, -0.06990905598474034]","[1.0, 0.9324769571296408, 1.2054607637800057, 0.8295594426615746, 1.0724106474889374, 0.9999999999999998]","{""(1,)"": 1.0012467050507887, ""(-1,)"": -1.0000000014801964}","{""delta_discrepancy"": 5.178698068914798e-10, ""kappa_min_discrepancy"": 9.94428983602802e-11}"
