n,status,underline_delta,dual_ray_found,dual_status,dual_blocks_all_feasible,delta_achieved,kappa_min,mu_min,max_kappa_B,s_0,Lambda,sigma_star,admissible,N_max,mu0,delta_target,N_required,start_origin,gamma,n_min_green,time_direct_s,time_sdp_s,alpha,rho,kappa_min_by_sigma,grid_vs_exact
1,optimal,0.0004280661500614402,False,dual_certified,True,0.11832391833692069,1.00124670505044,0.04992887122589181,1.0,0.0,0.20801518840762867,[-1],False,60,0.04992887122589985,2.8058361391694725e-06,61.0,random_1,3.0571418389619964,2.221136114571467,21.253782033920288,0.03750038146972656,"[-0.4040131769421165, 0.4040131769421165]","[1.0, 0.6676353238189504, 1.0]","{""(1,)"": -1.0000000316161775, ""(-1,)"": 1.001246705161498}","{""delta_discrepancy"": 1.1518563880486e-15, ""kappa_min_discrepancy"": 1.1105805164390858e-10}"
2,optimal,7.31713937563161e-05,False,dual_certified,True,0.17188439894898733,1.0012467050501634,0.04992887122035732,0.9999999999999998,1.3322676295501878e-15,0.207579288480364,[1],False,60,0.04992887122589985,2.8058361391694725e-06,61.0,phase1,3.0571418389619964,2.221136114571467,5.558618068695068,0.030091524124145508,"[0.4409005921524433, -0.8818011834800111, 0.4409005913275678]","[1.0, 1.5541062043106297, 0.643456668566905, 1.0]","{""(1,)"": 1.0012467050504408, ""(-1,)"": -1.0000000349033902}","{""delta_discrepancy"": 1.0919043447188415e-13, ""kappa_min_discrepancy"": 2.773337115513641e-13}"
3,optimal,1.0370977075640554e-06,False,dual_certified,True,0.0796223784760457,1.1968642309502098,0.6176147828311216,1.0027310666554814,-0.005469592036039472,,[-1],False,60,0.04992887122589985,2.8058361391694725e-06,5.0,zero_pad_from_n2,3.0571418389619964,2.221136114571467,9.760077238082886,0.04694390296936035,"[0.609371882023941, -1.0611683355659842, 1.061168334646461, -0.6093718811044179]","[1.0, 1.8392757537150743, 0.636483710545681, 1.8392757520238179, 1.0]","{""(1,)"": -1.0000011739809451, ""(-1,)"": 1.0012467050511025}","{""delta_discrepancy"": 0.00015422256674420265, ""kappa_min_discrepancy"": 0.1956175258991073}"
4,phase2_infeasible,5.6588491657275e-08,False,dual_certified,True,,,,,,,,False,60,0.04992887122589985,2.8058361391694725e-06,,,3.0571418389619964,2.221136114571467,13.335720777511597,0.09319949150085449,null,null,"{""(1,)"": 1.0012467050505, ""(-1,)"": -1.0000000014801964}","{""delta_discrepancy"": null, ""kappa_min_discrepancy"": null}"
5,phase2_infeasible,7.452628907474394e-10,False,dual_certified,True,,,,,,,,False,60,0.04992887122589985,2.8058361391694725e-06,,,3.0571418389619964,2.221136114571467,14.953982591629028,0.047040700912475586,null,null,"{""(1,)"": -1.0000001062453217, ""(-1,)"": 1.0012467050493892}","{""delta_discrepancy"": null, ""kappa_min_discrepancy"": null}"
