n,status,underline_delta,dual_ray_found,dual_status,dual_blocks_all_feasible,delta_achieved,kappa_min,mu_min,max_kappa_B,s_0,Lambda,sigma_star,admissible,N_max,mu0,delta_target,N_required,start_origin,gamma,n_min_green,time_direct_s,time_sdp_s,alpha,rho,kappa_min_by_sigma,grid_vs_exact
2,optimal,4.308152421982417e-05,False,dual_certified,True,0.23388519531379215,1.0012467050504414,0.04992887122592293,0.9758764857722118,0.047665084516877565,0.2912079369310483,[-1],False,60,0.04992887122589985,2.8058361391694725e-06,60.0,phase1,3.382743495651781,2.0073434934142322,3.069890260696411,0.0367579460144043,"[0.4437708922453228, 1.13929252271165e-13, -0.4437708922454367]","[1.0, 1.558573363469946, 1.5585733634701235, 1.0000000000000002]","{""(1,)"": -0.9998623610729025, ""(-1,)"": 1.0012467050537721}","{""delta_discrepancy"": 2.7200464103316335e-15, ""kappa_min_discrepancy"": 3.3306690738754696e-12}"
3,optimal,4.3147485018048075e-07,False,dual_certified,True,0.0002859801477246293,1.0012467050504483,0.04992887122606074,0.9418155265634787,0.11298351392395856,0.0008312253663156355,[1],False,60,0.04992887122589985,2.8058361391694725e-06,60.0,random_0,3.382743495651781,2.0073434934142322,1.6145164966583252,0.03381490707397461,"[0.3038008933935758, -0.7743537756205073, 0.7743537756193947, -0.30380089339246313]","[1.0, 1.3549992399291033, 0.6246568111441313, 1.3549992399275954, 0.9999999999999998]","{""(1,)"": 1.001246705075182, ""(-1,)"": 1.001246705072031}","{""delta_discrepancy"": 5.304904976958418e-08, ""kappa_min_discrepancy"": 2.4733770587204162e-11}"
4,optimal,6.829912154238943e-09,False,dual_certified,True,0.00039385286743254255,1.0012467050505667,0.04992887122843012,0.8981008945192382,0.19341478326374073,0.002034759860602975,[-1],False,60,0.04992887122589985,2.8058361391694725e-06,60.0,zero_pad_from_n3,3.382743495651781,2.0073434934142322,2.8930416107177734,0.03622126579284668,"[0.3647625720908411, -1.0177994971581377, 1.306073851738405, -1.0177995063865926, 0.3647625797154841]","[1.0, 1.4401720305192713, 0.5204627678117368, 1.9213670284394566, 0.694361486811263, 0.9999999999999998]","{""(1,)"": 1.001246705196904, ""(-1,)"": 1.0012467046587494}","{""delta_discrepancy"": 2.9925145174478e-07, ""kappa_min_discrepancy"": 3.9181724531545115e-10}"
5,optimal,-1.4480289226662626e-10,False,dual_certified,True,4.535251561987863e-05,1.0012467050504505,0.04992887122610519,0.9193815542702641,0.15473755766759467,0.00029301491788480405,[-1],False,60,0.04992887122589985,2.8058361391694725e-06,60.0,random_2,3.382743495651781,2.0073434934142322,4.489725589752197,0.08191156387329102,"[0.23172951974300415, -0.7000596998463858, 0.8311695494439595, -0.3331908950811573, -0.15380556981909882, 0.1241570955596783]","[1.0, 1.2607786669673027, 0.6260467813373501, 1.437404949391228, 1.0300923663196877, 0.8832410767321403, 1.0]","{""(1,)"": 1.0012467050508322, ""(-1,)"": 1.0012467050930562}","{""delta_discrepancy"": 1.1148723584619193e-08, ""kappa_min_discrepancy"": 4.260569674841008e-11}"
6,optimal,7.574640694506141e-10,False,dual_certified,True,4.275105993656325e-07,1.0012467050504572,0.04992887122623855,1.0000001965993577,-3.9319866118603386e-07,,[1],False,60,0.04992887122589985,2.8058361391694725e-06,60.0,zero_pad_from_n5,3.382743495651781,2.0073434934142322,12.247068643569946,0.05421590805053711,"[0.16590288746091064, -0.6149948585458864, 1.0423740920625266, -1.1705008820441953, 0.9815731070202843, -0.5331822340468867, 0.12882788809324686]","[1.0, 1.1804584588385079, 0.6382073993675303, 1.8099190508268785, 0.5614577451983116, 1.4983347817701185, 0.8791252604502332, 0.9999999999999998]","{""(1,)"": 1.0012466878087936, ""(-1,)"": 1.001246705147675}","{""delta_discrepancy"": 1.1791190859572692e-09, ""kappa_min_discrepancy"": 1.7241663652356465e-08}"
7,optimal,3.5982900799699654e-10,False,dual_certified,True,2.898341335821897e-07,4.868021194257948,2.2651141656126184,1.0000001198943873,-2.397919161012396e-07,,[-1],False,60,0.04992887122589985,2.8058361391694725e-06,2.0,zero_pad_from_n4,3.382743495651781,2.0073434934142322,7.77202033996582,0.05695199966430664,"[0.19275063880113752, -0.7034577730764309, 1.1925779279990645, -1.4065443924919379, 1.4063096502494883, -1.1918445574615497, 0.7025408824960193, -0.19233237651579116]","[1.0, 1.2125803853176507, 0.6000710979065125, 1.9775739066153055, 0.4844826788935121, 1.9771097409636313, 0.6003703849452714, 1.212073314726166, 0.9999999999999998]","{""(1,)"": 1.0012467050504408, ""(-1,)"": 4798386162516.745}","{""delta_discrepancy"": 4.330315810529815e-09, ""kappa_min_discrepancy"": 4798386162511.877}"
8,optimal,8.367350000346367e-11,False,dual_certified,True,3.3698133847792633e-06,1.0012540761253916,0.05007622380316744,1.0000000102466893,-2.0493374108809803e-08,,[-1],False,60,0.04992887122589985,2.8058361391694725e-06,60.0,zero_pad_from_n6,3.382743495651781,2.0073434934142322,22.78585147857666,0.06783270835876465,"[0.2270424876097366, -0.7729670590380692, 1.197645810805831, -0.9708853091100149, -0.0905630351779618, 0.8879660081582353, -0.6172022579885647, 0.09690806435422719, 0.0420552903865804]","[1.0, 1.2548831837946177, 0.5793059259514048, 1.9188407724996177, 0.7267563008121927, 0.6638313817445807, 1.6132308434377853, 0.8702599187742219, 0.9588167657572549, 1.0000000000000002]","{""(1,)"": 1.0012467051166887, ""(-1,)"": 1.0012467461703112}","{""delta_discrepancy"": 6.9946746096917e-08, ""kappa_min_discrepancy"": 7.329955080459527e-06}"
9,optimal,1.50480178281912e-10,False,dual_certified,True,1.1751035344786942e-07,1.0012467050405292,0.049928871027477104,1.000000000780127,-1.5606929082423449e-09,,[1],True,60,0.04992887122589985,2.8058361391694725e-06,61.0,zero_pad_from_n7,3.382743495651781,2.0073434934142322,38.32683539390564,0.0747690200805664,"[0.17525064989615236, -0.6689432718809918, 1.1761960501336841, -1.4297321610759077, 1.4717720458002626, -1.1435148714752181, 0.11676960488582397, 0.7408528517858092, -0.6059561300452598, 0.1673052319756454]","[1.0, 1.191544839776213, 0.6103683680769488, 1.9788253837687835, 0.4736774221606647, 2.0637883791334466, 0.657722901560604, 0.7391887678958522, 1.5506138705928827, 0.8459413635727725, 1.0000000000000004]","{""(1,)"": 1.0012467050505078, ""(-1,)"": 1.0012467050523972}","{""delta_discrepancy"": 1.0247426174278547e-08, ""kappa_min_discrepancy"": 9.978684545330907e-12}"
