n,status,underline_delta,dual_ray_found,dual_status,dual_blocks_all_feasible,delta_achieved,kappa_min,mu_min,max_kappa_B,s_0,Lambda,sigma_star,admissible,N_max,mu0,delta_target,N_required,start_origin,gamma,n_min_green,time_direct_s,time_sdp_s,alpha,rho,kappa_min_by_sigma,grid_vs_exact
1,optimal,5.73709766122088e-05,False,dual_certified,True,0.0027971574461487236,1.0012467050504443,0.04992887122598072,1.0,-2.220446049250313e-16,,[-1],False,60,0.04992887122589985,2.8058361391694725e-06,60.0,random_1,5.1471271546136075,1.3192462400699454,21.13964033126831,0.041718244552612305,"[-0.17345650265905382, 0.17345650265905382]","[1.0, 0.8407537209177824, 1.0]","{""(1,)"": -1.0000000316161775, ""(-1,)"": 1.0012467050504836}","{""delta_discrepancy"": 9.228728892196614e-16, ""kappa_min_discrepancy"": 3.930189507173054e-14}"
2,optimal,1.0897709807220976e-06,False,dual_certified,True,0.0002857755407745799,1.0012467050498528,0.04992887121413825,1.0,2.220446049250313e-16,0.0008491450598224759,[1],False,60,0.04992887122589985,2.8058361391694725e-06,61.0,random_0,5.1471271546136075,1.3192462400699454,4.985594272613525,0.03470563888549805,"[-0.17468228442865932, 0.34936456884696, -0.17468228441830067]","[1.0, 0.8397237717093968, 1.1908677992454302, 1.0]","{""(1,)"": 1.0012467050504406, ""(-1,)"": -1.0000000349033902}","{""delta_discrepancy"": 9.69688088506282e-13, ""kappa_min_discrepancy"": 5.877520692365579e-13}"
3,optimal,5.664934325249816e-10,False,dual_certified,True,1.2419297574783883e-06,1.0012467050424116,0.04992887106516496,0.9999999999999996,4.440892098500626e-16,50000000.04656613,[-1],True,60,0.04992887122589985,2.8058361391694725e-06,61.0,random_1,5.1471271546136075,1.3192462400699454,7.375175714492798,0.035121917724609375,"[0.14071964001431678, -0.402568653352606, 0.4025686544946752, -0.14071964115638597]","[1.0, 1.151101879834671, 0.7696272183798971, 1.151101881149309, 1.0]","{""(1,)"": -1.0000011739809451, ""(-1,)"": 1.001246705053408}","{""delta_discrepancy"": 3.0066691397216436e-11, ""kappa_min_discrepancy"": 1.0996314969702325e-11}"
