n,status,underline_delta,dual_ray_found,dual_status,dual_blocks_all_feasible,delta_achieved,kappa_min,mu_min,s_0,sigma_star,admissible,N_required,start_origin,gamma,n_min_green,time_direct_s,time_sdp_s,alpha,rho,kappa_min_by_sigma,grid_vs_exact
2,optimal,0.00038078167586996325,False,dual_certified,True,0.0008230734545122687,1.1276259652063814,0.5000000000000011,0.01254717998237509,[-1],False,5.986445692252748,random_0,4.692226521212471,1.2358355742246212,36.647335052490234,0.04761552810668945,"[0.34310606899956037, -0.6862121370044049, 0.3431060680048445]","[1.0, 1.4093182389745404, 0.7095629456426705, 1.0]","{""(1,)"": -0.9999996205750877, ""(-1,)"": 1.1276259652066027}","{""delta_discrepancy"": 2.620516650897464e-16, ""kappa_min_discrepancy"": 2.2137847111025621e-13}"
3,optimal,9.399341139350918e-07,False,dual_certified,True,1.018909061123452e-05,1.1276259652036176,0.4999999999946973,0.032726488337180726,[1],True,5.98644569231625,random_1,4.692226521212471,2.1717937657109263,1.3205325603485107,0.03134465217590332,"[0.35165892548739797, -0.9346408437530561, 0.9346408427979681, -0.35165892453230996]","[1.0, 1.4214236296590887, 0.558231282189191, 1.421423628301504, 1.0]","{""(1,)"": 1.1276259652063207, ""(-1,)"": 1.1276259652085863}","{""delta_discrepancy"": 2.8939641581598194e-10, ""kappa_min_discrepancy"": 2.703171020357331e-12}"
4,optimal,3.608968490415798e-08,False,dual_certified,True,4.892205999862398e-06,1.1276259652066065,0.5000000000004332,0.043484004763613804,[1],True,5.986445692247575,zero_pad_from_n3,4.692226521212471,2.3281532829260225,2.0021274089813232,0.03601360321044922,"[0.22846179336576364, -0.44480261527986487, -9.940682230860577e-08, 0.44480274536094044, -0.22846182404001691]","[1.0, 1.2566655112551333, 0.8054607364172561, 0.8054606563489678, 1.25666554980241, 1.0]","{""(1,)"": 1.127625965285742, ""(-1,)"": 1.1276259653922218}","{""delta_discrepancy"": 1.842424587071204e-11, ""kappa_min_discrepancy"": 7.913558697225653e-11}"
5,optimal,8.479893617089575e-08,False,dual_certified,True,6.651035278082418e-10,1.127625966094639,0.5000000017045985,0.07944808320915797,[-1],True,5.986445671843789,random_1,4.692226521212471,4.225591766498433,14.522704839706421,0.10817408561706543,"[-0.14315005718116766, 0.5574352344180294, -0.9455205682141853, 0.9455271068011523, -0.5574471935969689, 0.1431554777731402]","[1.0, 0.8666240159810759, 1.5132886208228065, 0.5878782613864649, 1.5132985156244088, 0.8666193183786236, 1.0000000000000002]","{""(1,)"": 1.1276259654579766, ""(-1,)"": 1.1276259652063798}","{""delta_discrepancy"": 7.823306226805855e-14, ""kappa_min_discrepancy"": 8.882592439363179e-10}"
6,optimal,2.222344344040085e-08,False,dual_certified,True,1.5336354408646002e-10,1.127625989212034,0.5000000460676803,0.13407042918237266,[1],True,5.986445140689479,random_0,4.692226521212471,4.538264544498871,13.444826364517212,0.04487466812133789,"[-0.1597601089324492, 0.6318228102298289, -1.1204086657377845, 1.2966916290910955, -1.1204075015712942, 0.6318212684694872, -0.1597594315488836]","[1.0, 0.8523482351708819, 1.6032979094340027, 0.5229099735485989, 1.9123745019129785, 0.6237149431138288, 1.1732285952538872, 0.9999999999999999]","{""(1,)"": 1.127625965208495, ""(-1,)"": 1.1276259652299454}","{""delta_discrepancy"": 5.053899495813203e-13, ""kappa_min_discrepancy"": 2.4003538934280755e-08}"
7,optimal,4.352184846158236e-08,False,dual_certified,True,2.948752353404416e-11,1.1282474149155985,0.5011910484182212,0.14542545227576653,[1],True,5.972219287581274,zero_pad_from_n6,4.692226521212471,4.889663599461105,10.052212476730347,0.04857754707336426,"[-0.09047360426383728, 0.41926080422628087, -0.8395277960794525, 1.0292442967664577, -0.8575443822613448, 0.4210921571968801, -0.07304730173052397, -0.009004173854460187]","[1.0, 0.9134984460466895, 1.3892821848282442, 0.6000510187583609, 1.67951271483596, 0.7124534647442842, 1.0855116857404448, 1.0090448333713569, 1.0]","{""(1,)"": 1.1276259652491485, ""(-1,)"": 1.1276259652063811}","{""delta_discrepancy"": 2.814491618045807e-14, ""kappa_min_discrepancy"": 0.000621449666450058}"
8,optimal,3.3000620162269904e-08,False,dual_certified,True,2.0099832909181714e-10,1.3368855567176312,0.7993811034899626,0.22030959787707616,[-1],True,3.7444253223631088,zero_pad_from_n6,4.692226521212471,4.480619120569094,21.083993673324585,0.05449795722961426,"[-0.17534437842500802, 0.6762770193801835, -1.1799011453065271, 1.3691576048414642, -1.2331732820669044, 0.7597781030863627, -0.19906280544547197, -0.03658012165244813, 0.018849005588349232]","[1.0, 0.8391679796551513, 1.6502596529484872, 0.507139835197441, 1.9940925814764427, 0.5810118179817368, 1.2420881081189383, 1.0178892455238786, 0.9813275260290019, 0.9999999999999997]","{""(1,)"": 1.1276259652321259, ""(-1,)"": 1.127625965206605}","{""delta_discrepancy"": 5.551986780829384e-13, ""kappa_min_discrepancy"": 0.20925959151102624}"
